time	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6
465	0.081	0.072	0.09	0.073	0.081	0.07	0.075	0.049	0.088	0.075	0.092	0.073	0.083	0.144	0.078	0.05	0.092	0.074	0.091	0.074	0.083	0.073	0.077	0.049
480	0.08	0.072	0.09	0.073	0.08	0.07	0.074	0.049	0.086	0.075	0.093	0.073	0.083	0.147	0.078	0.05	0.091	0.074	0.091	0.074	0.082	0.073	0.076	0.049
495	0.081	0.071	0.089	0.072	0.08	0.07	0.074	0.049	0.086	0.074	0.092	0.073	0.082	0.144	0.077	0.05	0.09	0.073	0.091	0.073	0.082	0.073	0.076	0.049
510	0.081	0.072	0.087	0.072	0.081	0.07	0.074	0.048	0.088	0.074	0.091	0.073	0.083	0.143	0.077	0.05	0.091	0.074	0.09	0.073	0.082	0.073	0.076	0.049
525	0.08	0.071	0.088	0.072	0.08	0.069	0.073	0.049	0.088	0.074	0.092	0.072	0.082	0.143	0.077	0.05	0.089	0.073	0.091	0.073	0.082	0.072	0.075	0.049
540	0.079	0.07	0.087	0.072	0.079	0.069	0.073	0.049	0.088	0.074	0.091	0.072	0.081	0.141	0.076	0.05	0.089	0.074	0.09	0.073	0.081	0.072	0.075	0.049
555	0.08	0.07	0.087	0.071	0.078	0.069	0.073	0.048	0.089	0.074	0.09	0.072	0.081	0.14	0.076	0.05	0.09	0.073	0.089	0.073	0.082	0.072	0.075	0.049
570	0.081	0.071	0.087	0.071	0.077	0.069	0.072	0.048	0.086	0.074	0.089	0.072	0.081	0.142	0.076	0.05	0.09	0.072	0.09	0.072	0.081	0.072	0.075	0.049
585	0.079	0.07	0.085	0.071	0.077	0.069	0.072	0.048	0.087	0.074	0.089	0.072	0.08	0.14	0.076	0.05	0.089	0.072	0.091	0.073	0.08	0.071	0.074	0.049
600	0.08	0.069	0.085	0.07	0.078	0.068	0.072	0.048	0.085	0.074	0.089	0.072	0.08	0.138	0.075	0.05	0.087	0.073	0.09	0.072	0.08	0.071	0.074	0.049
615	0.08	0.07	0.086	0.07	0.078	0.068	0.072	0.048	0.087	0.073	0.088	0.071	0.079	0.139	0.075	0.05	0.089	0.073	0.089	0.073	0.079	0.071	0.073	0.049
630	0.08	0.069	0.085	0.07	0.077	0.068	0.071	0.048	0.086	0.073	0.088	0.071	0.079	0.138	0.075	0.05	0.091	0.073	0.087	0.073	0.079	0.071	0.073	0.049
645	0.08	0.069	0.085	0.07	0.077	0.068	0.071	0.048	0.085	0.073	0.088	0.071	0.079	0.135	0.075	0.05	0.089	0.073	0.087	0.072	0.079	0.071	0.073	0.049
660	0.078	0.069	0.086	0.07	0.076	0.068	0.07	0.048	0.086	0.072	0.088	0.072	0.078	0.138	0.074	0.05	0.088	0.072	0.087	0.071	0.078	0.07	0.073	0.049
675	0.079	0.069	0.087	0.07	0.075	0.068	0.07	0.048	0.085	0.072	0.088	0.071	0.079	0.136	0.074	0.05	0.09	0.072	0.086	0.072	0.078	0.07	0.072	0.049
690	0.078	0.069	0.086	0.069	0.075	0.067	0.07	0.048	0.085	0.073	0.088	0.07	0.078	0.135	0.074	0.05	0.088	0.073	0.086	0.072	0.078	0.07	0.072	0.048
705	0.078	0.068	0.086	0.069	0.075	0.067	0.069	0.048	0.085	0.074	0.087	0.07	0.078	0.134	0.073	0.05	0.087	0.073	0.087	0.071	0.077	0.07	0.072	0.049
720	0.079	0.068	0.084	0.069	0.075	0.067	0.069	0.048	0.085	0.073	0.086	0.07	0.077	0.134	0.073	0.05	0.088	0.073	0.087	0.073	0.077	0.07	0.071	0.049
735	0.077	0.069	0.083	0.069	0.074	0.067	0.069	0.048	0.086	0.073	0.086	0.07	0.077	0.134	0.073	0.05	0.088	0.072	0.088	0.073	0.076	0.069	0.071	0.049
750	0.077	0.068	0.083	0.069	0.074	0.067	0.068	0.048	0.086	0.072	0.086	0.07	0.077	0.132	0.073	0.051	0.087	0.072	0.087	0.071	0.076	0.069	0.071	0.048
765	0.077	0.068	0.083	0.068	0.073	0.066	0.068	0.048	0.085	0.072	0.086	0.069	0.076	0.132	0.073	0.05	0.089	0.072	0.086	0.071	0.076	0.069	0.07	0.049
780	0.076	0.068	0.082	0.068	0.074	0.066	0.068	0.048	0.086	0.073	0.085	0.071	0.076	0.131	0.072	0.051	0.089	0.071	0.085	0.071	0.076	0.069	0.07	0.048
795	0.076	0.067	0.082	0.068	0.073	0.066	0.067	0.048	0.085	0.072	0.085	0.07	0.076	0.129	0.072	0.05	0.087	0.072	0.085	0.071	0.075	0.069	0.07	0.048
810	0.078	0.067	0.081	0.068	0.073	0.066	0.067	0.048	0.086	0.072	0.086	0.071	0.076	0.13	0.072	0.051	0.089	0.072	0.084	0.07	0.075	0.068	0.07	0.049
825	0.077	0.067	0.081	0.068	0.072	0.066	0.067	0.048	0.082	0.072	0.084	0.071	0.076	0.131	0.072	0.051	0.087	0.07	0.085	0.07	0.074	0.068	0.069	0.048
840	0.077	0.067	0.082	0.068	0.072	0.065	0.066	0.048	0.082	0.071	0.085	0.071	0.075	0.128	0.071	0.051	0.086	0.071	0.085	0.07	0.074	0.068	0.069	0.048
855	0.077	0.067	0.081	0.067	0.072	0.065	0.066	0.048	0.084	0.072	0.084	0.07	0.075	0.129	0.071	0.051	0.087	0.071	0.084	0.071	0.074	0.068	0.069	0.048
