KEGG_Class	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_2	p_clade_1	p_clade_3	p_clade_4	N_clade_2	N_clade_1	N_clade_3	N_clade_4
Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0	1	1	NA	M00609!!!M00034!!!M00035!!!M00368	GC_00000180, GC_00001590, GC_00004977, GC_00006975, GC_00006984, GC_00007707	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Histidine metabolism	0	1	1	NA	M00026	GC_00000658, GC_00001053, GC_00001461, GC_00001755, GC_00001788, GC_00001932, GC_00001978, GC_00002168, GC_00002212, GC_00002271, GC_00002427, GC_00002574, GC_00002642, GC_00004135	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Lysine metabolism	0	1	1	NA	M00525	GC_00000889, GC_00002460	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0	1	1	NA	M00016!!!M00028!!!M00845	GC_00001042	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0	1	1	NA	M00016!!!M00525!!!M00527	GC_00002269	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0	1	1	NA	M00016!!!M00525!!!M00526!!!M00527	GC_00000019, GC_00000705, GC_00002038, GC_00002054, GC_00002601, GC_00002863, GC_00009388	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0	1	1	NA	M00020	GC_00000089, GC_00000614, GC_00000830, GC_00001887, GC_00002100, GC_00011892	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0	1	1	NA	M00018!!!M00017	GC_00001017	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0	1	1	NA	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	GC_00002187	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0	1	1	NA	M00020!!!M00124	GC_00002489	1	1	1	1	36	57	17	3
Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	0	1	1	NA	M00848	GC_00001531, GC_00011195, GC_00011197	1	1	1	1	36	57	17	3
Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	0	1	1	NA	M00039	GC_00001447	1	1	1	1	36	57	17	3
Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	0	1	1	NA	M00793	GC_00000522, GC_00002793, GC_00002849, GC_00003981, GC_00005740	1	1	1	1	36	57	17	3
Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0	1	1	NA	M00096	GC_00000195, GC_00001608, GC_00001908, GC_00002057, GC_00002413, GC_00002610	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0	1	1	NA	M00005	GC_00000766	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0	1	1	NA	M00004!!!M00006	GC_00000354, GC_00001002, GC_00001523, GC_00002019, GC_00002332, GC_00002421, GC_00002483, GC_00003330, GC_00003937, GC_00004045, GC_00004155, GC_00005598, GC_00007692, GC_00008861	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0	1	1	NA	M00001!!!M00002!!!M00003	GC_00000745, GC_00001386, GC_00001594, GC_00001885, GC_00002330	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00308!!!M00552!!!M00165!!!M00166!!!M00611!!!M00612	GC_00001510, GC_00001537	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0	1	1	NA	M00004!!!M00007!!!M00580!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000904, GC_00002508	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Methane metabolism	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00346	GC_00001345	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0	1	1	NA	M00008!!!M00308!!!M00631!!!M00061	GC_00000017, GC_00000465, GC_00001459, GC_00001803, GC_00002067, GC_00002457, GC_00002500, GC_00009746	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Methane metabolism!!!Pathway modules; Energy metabolism; Methane metabolism!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0	1	1	NA	M00001!!!M00003!!!M00165!!!M00167!!!M00345!!!M00344!!!M00611!!!M00612	GC_00000551, GC_00000783, GC_00000961, GC_00001097, GC_00001556, GC_00001984, GC_00002833, GC_00002858, GC_00002862, GC_00002877, GC_00002928, GC_00002959, GC_00003047, GC_00003121, GC_00003210, GC_00006628, GC_00009485, GC_00011207	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0	1	1	NA	M00004!!!M00007!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000132, GC_00000133, GC_00000407, GC_00001436, GC_00001635, GC_00001801, GC_00002563, GC_00008275	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism	0	1	1	NA	M00001!!!M00002!!!M00049!!!M00050	GC_00000501, GC_00001221	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0	1	1	NA	M00001!!!M00549!!!M00892!!!M00909	GC_00000548, GC_00001844, GC_00002274	1	1	1	1	36	57	17	3
Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0	1	1	NA	M00307!!!M00173!!!M00614	GC_00001348	1	1	1	1	36	57	17	3
